"HolderAddress","Balance","PendingBalanceUpdate"
"0xa25b0b799a382d901ca8fa6b206437c31a0861f0","10373.44","No"
"0xa2ddfc8a6c1f8868b80f2747d04532a6cde9804d","11933.17","No"
"0xa581cf5b5502f9b4e86e849c9d1223e45d08243d","414.25","No"
"0xa5b60e4fd9c45586f98f4f5db977310442f688ae","10373.44","No"
"0xa616490eb77fada8370ee971926cc4aa92da9ff9","10373.44","No"
"0xa65dd1dfb67a26a1b020c3f505dd8a01e44fc3af","10000","No"
"0xa716a52d199036e0a945512a05407a80911e8eb5","20080.09","No"
"0xa7497e7bc15ed31d5dc108328bd7c6e61a08d20b","10373.44","No"
"0xa750ae18b075819ab8cd321a55a52d2710cd0904","54630.03","No"
"0xa76888f477ced87049ffd3f8fd1c86bd0c38ee81","10511.52","No"
"0xa86882277e69fbf0a51805cdc8b0a3a113079e63","99945.87","No"
"0xa8695c67368356db076e8dd2b36b4595a34e91ec","148742.118479532","No"
"0xa8c5c857ab42f3981b843b533569bc62017dd413","10373.44","No"
"0xa9f000f31353c04c8f871f108fc00e84d7a8139c","10511.52","No"
"0xabbcb8cd80db399a62b6bfbca52d895d2ec18c55","10373.44","No"
"0xaca023eb53bf7a2747ec7e87964efc3b66ca25a5","120000","No"
"0xace79b305e32f17820ce0fc3a4ed66250c975a40","16048.44","No"
"0xaceaddfd77af5e9021c4e62d93f9e01d9fb06ebc","10000","No"
"0xad28ec4cd81f3f1735585680e921c1e0c433a0ee","10414.25","No"
"0xadfba04a021a0b4978bacdbaeb71520eaf9d4129","10373.44","No"
"0xae7072154669b55ef4a7707997577046356e50c7","10373.44","No"
"0xaec512c8eeac065ad8063f676ce7dc1fcce34180","552.33","No"
"0xaec5ab9d19471befd05145daf3b66e0f4eab2015","10373.44","No"
"0xaec5e80839ba152a307bf4eea14dacc6158c7a57","828.5","No"
"0xaee2b2414f6ddd7e19697de40d828cbcddabf27f","14511.69","No"
"0xaf5fcaa634c461a5cf0a3eb26d7bef669c1b8d47","10138.08","No"
"0xaf93c19e043ad27d72f11ae3e33aa573564339c7","138.08","No"
"0xb2460cd55b76e3aa09b02b1f4a9ec4605d05de56","10000","No"
"0xb311b148fc9964347546816c8e2f8a23c7e7eaaf","12444.69","No"
"0xb58f9800f74fea404b58f94ca3685d97e4fdfbed","10373.44","No"
"0xb81a53e7e1ad2ba3bb1cd7055966aba06747660d","333777.652451782","No"
"0xb9647f9b0cff996c0ac1cf6ac576f117bfc9b919","138.08","No"
"0xb97b8694f7818b62bb2c55fa285d3ffc15216688","10373.44","No"
"0xbb12a6c5d71a6192417ab3552337daaac086335f","10511.52","No"
"0xbb1b59ed2c9c0f921ed8313610c251766fe23c2e","10511.52","No"
"0xbb8c1eabecd25e33f37bb16b193e44431df3bbe7","15068.28","No"
"0xbbb534e36d7b815fe9835faa3a8640d3341ccc99","10373.44","No"
"0xbcd012a8953b4afaa1a6ffee5330088396c87e7d","138.08","No"
"0xbd5d1f7a995ac60f21531e08cb2696fa9ab44077","276.17","No"
"0xbd95901e87a308772addf908767c9ac2f87eccb8","14832.92","No"
"0xc08c05f3164ac0121ed4eb30f7244917a04f2f1d","10000","No"
"0xc1b119551e9d9a04737bc39772b3bd1ec390af59","10373.44","No"
"0xc2830243ff7e8ac438a89776beffc1b070fcef47","10373.44","No"
"0xc2b548f922d70e4ca77b43b976a475ca2907d184","10925.77","No"
"0xc531687ea78ceedb9bee3587fba52b5379af4bb5","10000","No"
"0xc57b0d76fb0dd1509daf7adefcee3fe0ec17fa6b","10373.44","No"
"0xc5c226803f0d4609ff1dc5cda7c49dbfc06d2a7d","102331.809883041","No"
"0xc5e2c6d68002ae837314de89d600e69b94d76754","17015.02","No"
"0xc789ecebdb8ebe306ae59ec8c0c6a89226018e09","138.08","No"
"0xc7d56dfeb1b07ba2f86ba0ea7d5aa6ae097b5d58","10373.44","No"
"0xc8af3644783001cd99f8632cad21da39ed5b8268","828.5","No"
"0xc912e55e813753f91f96054eacf4e342a6061f1a","10373.44","No"
"0xc94861973c23bd9ef99326efc950c7f20b35aef9","10373.44","No"
"0xca6f6fb3e52694bf6e11496e89624ab735a91eb5","10000","No"
"0xcaed80aba928088664d3bd88c596f308472d08f3","10373.44","No"
"0xce16ac1ca5a4f31c925c8ef57fe36e10656a15d9","276.17","No"
"0xce3613f71a765b6f32296315a04102844657875b","10373.44","No"
"0xcf49ac4184be30518d70454b7c9a0cf3c868a725","10000","No"
"0xcfdc2419f4cc439a064d9a5334cbef203b135921","10000","No"
"0xcff9cd287e0e1037696464d2813b585fd6dce705","1","No"
"0xd003c02e57319d957a9444c363573f83d1a833ca","138.08","No"
"0xd18b6f2dc419d971754cb9752b56679b854ad21e","10373.44","No"
"0xd1b985b29a8a4175e6d61c897a7846dd35408442","10373.44","No"
"0xd1cb9ff11e0fe53ad17f2b9ed59ed7a2bbc3bfd1","45403","No"
"0xd29553e2c23ff109041b2ee38e6384e9f5fef6ed","5675","No"
"0xd2ef2f4546d11732495523ac988bde8edb3a782f","10373.44","No"
"0xd3a085459630f25333adfa7336e4c3c3523d6317","12168.52","No"
"0xd4d893221d51c8e5f4b3c8ecb55cf400e107569a","114887.83","No"
"0xd74ba91ed759ae61f7aacf8778f5541f4a082d08","10000","No"
"0xd84da5b3d7413718b02aab1b1a17e822f00f92b0","10373.44","No"
"0xd9264d9cc2331162b44a9e7b12433248c276e2fa","10373.44","No"
"0xdbcf47e5663e8d48e3806785fce376270ce92e5a","85260.61","No"
"0xdcecee19c949ca1b065a26bb2fe7bf4374b2d419","10000","No"
"0xddcc2cde4b1bd150ddacd2cfacefbdc8d184d0ad","15960.44","No"
"0xdde351443e03de0dcc3ad69d8e132c662573a4a3","10000","No"
"0xde9774f67a2718eb8605ec0d4d28ecdfdfe880b2","1657","No"
"0xe0276494a8f9ec63b6f0f760f63939ba773a518f","276.17","No"
"0xe3bc0dd47fcd59f2fc152c2ab34368663780aeb6","10000","No"
"0xe3c0f7db1643b1fc69e5555c307b172922b56719","10373.44","No"
"0xe4170ad88bb72ebe3a6a6d4ca75fa2ec81f516cd","21065.27","No"
"0xe5c5f7b4e7d4a86da73bb6a3e7fde89a9e8f1041","14239.78","No"
"0xe5e3d15b6f49fb066c991f3faea259e330c14a94","137686.34","No"
"0xe69343cef203fea22e0a25757479b20072a01a46","51090.86","No"
"0xeb0b37869f38d5390392ab9214c07c04fff10402","11754.27","No"
"0xec517d782ca3714e5210d9e7ae0f5c67940a5c43","10373.44","No"
"0xed0087b28b00b92c5c7767b1ddab3095762150cf","22979.84","No"
"0xee532acb13d3ff870a275d0708bf70da054c1f9f","10373.44","No"
"0xf1f4632cfd33be855b80d5706795deb0ba36b3b8","10511.52","No"
"0xf20ac81014e1f57b4707120576e9636ac8b3ab54","11765.25","No"
"0xf5b9a5159cb45efcba4f499b7b19667eaa649134","27564.75","No"
"0xf674a64aac51b36370ad57934d66cb233dd2c81b","12306.61","No"
"0xf8e2e2b5144fc5760b1cf5500a731f672dae675d","10000","No"
"0xf9984db6a3bd7044f0d22c9008dda296c0cc5468","10373.44","No"
"0xf9c0f65faa707b375d0269cff87c234e60a6e1bf","10000","No"
"0xfad763da9051953fea58c2304395719a3b6ba361","1685","No"
"0xfaffd2bf936e758147c9151c293adc548ed13e8f","1135","No"
"0xfbba8cea4e9835b9f304d6e69905cd9403f2b606","13037.83","No"
"0xfc3c030ddd16d8e172603c560a131a8e30853f9a","10373.44","No"
"0xfc49eec224941115a056868b18fad08c5d324096","10511.52","No"
"0xfc996ec7838d0422d05b08c4d6a1d6a14ccd85ae","10373.44","No"
"0xfe54ca30ba846bac4728990975c7a71a8596f3d7","10373.44","No"
"0xff0928b09d9f96acb030c4211e88c3f39bc56200","20494.34","No"
"0xff2c8ef6e6da8a24475611326bc9c80ca90cd7d2","10000","No"
